train_data;train_labels: 0:2800;batch_size: 10;model7
test_data;test_labels: 2800:3100;batch_size: 6
type;learning rate;momentum;neurons;filers;epoch 1;epoch 2; ... 
train;0.1;0;2;4;0.7353971054511411;0.6575857838349682;0.5948974555092198;0.5764254615242992
valid;0.1;0;2;4;0.6704644036293029;0.6161179691553116;0.5748389196395874;0.5567434710264206
pred_1;0.1;0;2;4;0.14500000250658818;0.34714286380580495;0.3371428630713906;0.4142857204856617
act_1;0.1;0;2;4;0.41821429255817616;0.418928578336324;0.4185714353940317;0.4192857209593058
train;0.1;0;2;10;0.7236651416335788;0.6853427512305124;0.6817294931837491;0.6801891026752336
valid;0.1;0;2;10;0.6882866764068604;0.6839596247673034;0.6829877126216889;0.6814791488647461
pred_1;0.1;0;2;10;0.0;0.0;0.0;0.0
act_1;0.1;0;2;10;0.41821429255817616;0.41750000680663757;0.4189285783097148;0.4178571497223207
train;0.1;0;10;4;0.8092070890324456;0.661244413363082;0.6079070029514176;0.6030096498983247
valid;0.1;0;10;4;0.6976917964220047;0.5950572156906128;0.6305291080474853;0.5707744944095612
pred_1;0.1;0;10;4;0.07285714274538414;0.19392857490373508;0.3971428623156888;0.37035714858876806
act_1;0.1;0;10;4;0.4178571497223207;0.4185714353940317;0.41821429255817616;0.4196428641144718
train;0.1;0;10;10;0.8649551574672971;0.616693658434919;0.5659858698823622;0.5308034626500947
valid;0.1;0;10;10;0.6995022308826446;0.5608271396160126;0.5267477196455002;0.5261687064170837
pred_1;0.1;0;10;10;0.005357142936970506;0.3235714334728462;0.3814285773783922;0.38250000564647574
act_1;0.1;0;10;10;0.4185714353940317;0.4171428639973913;0.4185714353940317;0.4178571497223207
train;0.1;0.5;2;4;0.7369111044066293;0.6408688129058906;0.6098593160510063;0.5942990976784911
valid;0.1;0.5;2;4;0.6659660810232162;0.5920805895328521;0.6059717392921448;0.5722294914722442
pred_1;0.1;0.5;2;4;0.09035714465592588;0.3314285779904042;0.36928571930953435;0.3678571486047336
act_1;0.1;0.5;2;4;0.41678572110831735;0.4196428640612534;0.4192857210125242;0.4164285783256803
train;0.1;0.5;2;10;0.782649124945913;0.6934792082224573;0.6842982568911143;0.682051668209689
valid;0.1;0.5;2;10;0.7040031611919403;0.6883517098426819;0.6851743125915527;0.6825251591205597
pred_1;0.1;0.5;2;10;0.01928571422717401;0.0;0.0;0.0
act_1;0.1;0.5;2;10;0.418928578336324;0.4178571496158838;0.4175000068864652;0.4189285782831056
train;0.1;0.5;10;4;0.8253459817596844;0.6527079862143312;0.6082921087741852;0.5683719003839153
valid;0.1;0.5;10;4;0.6714428114891052;0.6072150999307633;0.6219037020206452;0.5578492027521134
pred_1;0.1;0.5;10;4;0.20000000401799167;0.37285714841314727;0.37678572088479995;0.38750000673213175
act_1;0.1;0.5;10;4;0.4175000068332468;0.41785714969571147;0.4214285783735769;0.41571429244109565
train;0.1;0.5;10;10;0.8071290892149721;0.5810515809272017;0.5542597130473171;0.5345095233193465
valid;0.1;0.5;10;10;0.6065815997123718;0.6289322090148926;0.5852050668001175;0.52895228266716
pred_1;0.1;0.5;10;10;0.17500000316649675;0.3446428631033216;0.38035714900387185;0.3703571489346879
act_1;0.1;0.5;10;10;0.4178571497223207;0.41892857817666873;0.4182142926113946;0.41857143550046855
train;1;0;2;4;0.7441492197769028;0.6711717176650251;0.6446162350475788;0.6333982332476548
valid;1;0;2;4;0.6909386110305786;0.6425155276060104;0.6343559330701828;0.6350320166349411
pred_1;1;0;2;4;0.0;0.19607143247766154;0.36142857782542703;0.3939285776710936
act_1;1;0;2;4;0.41821429255817616;0.41928572106574263;0.41714286407721896;0.4182142926380038
train;1;0;2;10;0.7437417366674968;0.6463414449776922;0.6023567473249776;0.5682424966778074
valid;1;0;2;10;0.6559440672397614;0.6130812788009643;0.5634252178668976;0.56747503221035
pred_1;1;0;2;10;0.01535714300615447;0.23464286093200956;0.3257142924836704;0.37642857741032326
act_1;1;0;2;10;0.4178571497223207;0.4196428639015981;0.41678572121475427;0.41785714966910226
train;1;0;10;4;0.817943205258676;0.6252810800714153;0.5625301281256335;0.5434965906398637
valid;1;0;10;4;0.6542086255550384;0.6621879750490188;0.5622786498069763;0.5363877430558205
pred_1;1;0;10;4;0.1957142891894494;0.3585714353248477;0.39321429245173933;0.3757142925368888
act_1;1;0;10;4;0.41821429255817616;0.4171428639973913;0.4185714353940317;0.42000000689710887
train;1;0;10;10;0.8435232003884656;0.6023553763117109;0.5722227579780987;0.5460316900696073
valid;1;0;10;10;0.6349245631694793;0.5525309458374977;0.555344689488411;0.5227110382914543
pred_1;1;0;10;10;0.23464286016034228;0.34571429142462357;0.3707142921430724;0.3728571502757924
act_1;1;0;10;10;0.41821429255817616;0.4185714353940317;0.4171428639707821;0.41714286405060974
train;1;0.5;2;4;0.7763995402625629;0.7030707314610481;0.6891299628785679;0.6833016352994101
valid;1;0.5;2;4;0.7197492325305939;0.6942656219005585;0.6875684034824371;0.6834301900863647
pred_1;1;0.5;2;4;0.021428571668054376;0.0;0.0;0.0
act_1;1;0.5;2;4;0.41928572106574263;0.41678572121475427;0.42071429251560144;0.418214292664613
train;1;0.5;2;10;0.7287643751927785;0.681929562985897;0.6800380557775497;0.680021870136261
valid;1;0.5;2;10;0.6832911372184753;0.6816968882083893;0.6823731780052185;0.6813604307174682
pred_1;1;0.5;2;10;0.010357142905039446;0.0;0.0;0.0
act_1;1;0.5;2;10;0.4178571497223207;0.41892857822988716;0.4178571497223207;0.4185714354206409
train;1;0.5;10;4;0.8095236923013415;0.6582553159977709;0.6080470348043101;0.5906456744032247
valid;1;0.5;10;4;0.7430780279636383;0.6163707292079925;0.5896241837739944;0.5921510589122773
pred_1;1;0.5;10;4;0.17892857385533198;0.4221428622890796;0.38214286315654006;0.3714285777881742
act_1;1;0.5;10;4;0.418928578336324;0.41964286400803497;0.41821429250495773;0.4164285782724619
train;1;0.5;10;10;0.8665956651525838;0.6717646356139865;0.6053534514137677;0.5773627687245607
valid;1;0.5;10;10;0.7255966889858246;0.6397616106271744;0.5625236475467682;0.546134272813797
pred_1;1;0.5;10;10;0.28964286191122873;0.3532142920951758;0.3742857214329498;0.3757142923240151
act_1;1;0.5;10;10;0.41821429255817616;0.41857143550046855;0.41821429255817616;0.4182142924517393
