train_data;train_labels: 0:30;batch_size: 10;model8
test_data;test_labels: 30:40;batch_size: 2
type;learning rate;momentum;neurons;filers;epoch 1;epoch 2; ... 
train;0.01;0.8;0.999;0.1;1.1770631472269695;1.1734813849131267
valid;0.01;0.8;0.999;0.1;1.2042468309402465;1.1733863830566407
pred_1;0.01;0.8;0.999;0.1;1.0;1.0
act_1;0.01;0.8;0.999;0.1;0.4333333373069763;0.36666667461395264
train;0.01;0.8;0.999;1;1.0861313343048096;1.0786995490392048
valid;0.01;0.8;0.999;1;1.0752835750579834;1.0723384618759155
pred_1;0.01;0.8;0.999;1;0.0;0.0
act_1;0.01;0.8;0.999;1;0.4333333373069763;0.36666667461395264
train;0.01;0.9;0.999;0.1;1.069891134897868;1.0817673603693645
valid;0.01;0.9;0.999;0.1;1.0817654728889465;1.054295039176941
pred_1;0.01;0.9;0.999;0.1;0.033333333830038704;0.033333333830038704
act_1;0.01;0.9;0.999;0.1;0.36666667461395264;0.4333333373069763
train;0.01;0.9;0.999;1;1.1650854746500652;1.1488559643427532
valid;0.01;0.9;0.999;1;1.1582033395767213;1.163738775253296
pred_1;0.01;0.9;0.999;1;1.0;1.0
act_1;0.01;0.9;0.999;1;0.36666667461395264;0.4333333373069763
train;0.1;0.8;0.999;0.1;1.096760352452596;1.0249546766281128
valid;0.1;0.8;0.999;0.1;1.1089163303375245;1.022817277908325
pred_1;0.1;0.8;0.999;0.1;0.0;0.20000000794728598
act_1;0.1;0.8;0.999;0.1;0.4333333373069763;0.36666667461395264
train;0.1;0.8;0.999;1;1.0810940265655518;1.0638175408045452
valid;0.1;0.8;0.999;1;1.124532127380371;1.073408603668213
pred_1;0.1;0.8;0.999;1;0.46666666865348816;0.13333333532015482
act_1;0.1;0.8;0.999;1;0.36666667461395264;0.4333333373069763
train;0.1;0.9;0.999;0.1;1.1506606737772624;1.090157151222229
valid;0.1;0.9;0.999;0.1;0.9812525272369385;0.9901982307434082
pred_1;0.1;0.9;0.999;0.1;0.3333333333333333;0.0
act_1;0.1;0.9;0.999;0.1;0.36666667461395264;0.4333333373069763
train;0.1;0.9;0.999;1;1.1338809331258137;1.095209280649821
valid;0.1;0.9;0.999;1;1.0316751718521118;1.0529940247535705
pred_1;0.1;0.9;0.999;1;0.0;0.0
act_1;0.1;0.9;0.999;1;0.4333333373069763;0.36666667461395264
train;1;0.8;0.999;0.1;1.1593688329060872;1.0771628618240356
valid;1;0.8;0.999;0.1;1.1049246072769165;1.0224310874938964
pred_1;1;0.8;0.999;0.1;0.3333333333333333;0.0
act_1;1;0.8;0.999;0.1;0.4333333373069763;0.36666667461395264
train;1;0.8;0.999;1;1.121477444966634;1.0703317324320476
valid;1;0.8;0.999;1;1.0351753234863281;0.9926208257675171
pred_1;1;0.8;0.999;1;0.033333333830038704;0.0
act_1;1;0.8;0.999;1;0.4333333373069763;0.36666667461395264
train;1;0.9;0.999;0.1;1.0854511658350627;1.0650503039360046
valid;1;0.9;0.999;0.1;1.0076825618743896;0.9780533313751221
pred_1;1;0.9;0.999;0.1;0.36666666716337204;0.0
act_1;1;0.9;0.999;0.1;0.36666667461395264;0.4333333373069763
train;1;0.9;0.999;1;1.1075539588928223;1.0829607248306274
valid;1;0.9;0.999;1;1.066383695602417;1.0355939626693726
pred_1;1;0.9;0.999;1;0.20000000298023224;0.0
act_1;1;0.9;0.999;1;0.4333333373069763;0.36666667461395264
