train_data;train_labels: 0:2800;batch_size: 10;model6
test_data;test_labels: 2800:3100;batch_size: 6
type;learning rate;momentum;neurons;filers;epoch 1;epoch 2; ... 
train;0.1;0;2;4;0.6800492069550923;0.6255420955164092;0.5710282617913826;0.5400917647140366
valid;0.1;0;2;4;0.6590409529209137;0.6012417992949486;0.7482322379946709;0.5045043152570724
pred_1;0.1;0;2;4;0.013571428640612533;0.2785714331482138;0.3621428629915629;0.42250000605625765
act_1;0.1;0;2;4;0.4171428639707821;0.4203571497595736;0.41607143535677876;0.4210714353248477
train;0.1;0;2;10;0.6819957973701614;0.6810101905039379;0.6822520603026663;0.6805257844073432
valid;0.1;0;2;10;0.6787418818473816;0.6886966896057128;0.6825606226921082;0.682261278629303
pred_1;0.1;0;2;10;0.013571428720440183;0.0;0.0010714286140033177;0.0
act_1;0.1;0;2;10;0.4175000068332468;0.4171428639973913;0.4210714353514569;0.4185714354472501
train;0.1;0;10;4;0.684721466260297;0.6802894123962947;0.6695289992860385;0.6178267967488085
valid;0.1;0;10;4;0.6789187860488891;0.6814576351642608;0.6596845376491547;0.6050355458259582
pred_1;0.1;0;10;4;0.0060714286618999075;0.0007142857249294008;0.08214285754199539;0.4164285750527467
act_1;0.1;0;10;4;0.4185714353940317;0.4178571497223207;0.41678572113492657;0.42178572110299556
train;0.1;0;10;10;0.6634168408811092;0.5998696548065969;0.5432606352493167;0.5302564118057489
valid;0.1;0;10;10;0.5905157643556594;0.5260629820823669;0.4960487985610962;0.4952743902802467
pred_1;0.1;0;10;10;0.15714285876601936;0.3435714320412704;0.3842857198789716;0.39964286261903387
act_1;0.1;0;10;10;0.4185714353940317;0.4178571497223207;0.41964286400803497;0.4175000068864652
train;0.1;0.5;2;4;0.6822612477200372;0.6834247378366334;0.6821046801550048;0.6830614419920104
valid;0.1;0.5;2;4;0.6846019804477692;0.6830684578418732;0.682471375465393;0.6813452589511871
pred_1;0.1;0.5;2;4;0.039285714285714285;0.0035714285714285713;0.02142857142857143;0.0
act_1;0.1;0.5;2;4;0.41821429255817616;0.4192857211721795;0.41678572110831735;0.418928578336324
train;0.1;0.5;2;10;0.681686376460961;0.6830980820315224;0.6830535069108009;0.6826031640172004
valid;0.1;0.5;2;10;0.6811695718765258;0.6862604284286499;0.6827152669429779;0.6811214363574982
pred_1;0.1;0.5;2;10;0.05714285714285714;0.010714285714285714;0.010714285714285714;0.022857143011476313
act_1;0.1;0.5;2;10;0.4178571497223207;0.41892857822988716;0.4178571497755391;0.4185714353940317
train;0.1;0.5;10;4;0.6781229851501328;0.6822114685816424;0.6834541677364281;0.6823993374194418
valid;0.1;0.5;10;4;0.6804934310913086;0.6823289179801941;0.6906027817726135;0.6823087787628174
pred_1;0.1;0.5;10;4;0.08642857151904276;0.017857142857142856;0.0;0.014285714285714285
act_1;0.1;0.5;10;4;0.41928572106574263;0.4160714354632156;0.4207142925954291;0.41642857821924345
train;0.1;0.5;10;10;0.6577887577669961;0.6058585305299078;0.5907484790576356;0.5532391438526767
valid;0.1;0.5;10;10;0.5704985469579696;0.5643994098901749;0.51082426071167;0.5521691450476647
pred_1;0.1;0.5;10;10;0.2096428596813764;0.28500000475240606;0.432500005433602;0.4371428635503565
act_1;0.1;0.5;10;10;0.41821429255817616;0.41821429255817616;0.4167857211615358;0.420714292462383
train;1;0;2;4;0.6986520578818661;0.6955313394112247;0.6978515807007041;0.699399540999106
valid;1;0;2;4;0.6798184704780579;0.7060965603590011;0.7036283308267594;0.6824942994117736
pred_1;1;0;2;4;0.15714285714285714;0.18571428571428572;0.18928571428571428;0.16785714285714284
act_1;1;0;2;4;0.41821429255817616;0.4171428639707821;0.42000000684389044;0.4182142926380038
train;1;0;2;10;0.6993588227246489;0.6976772669170584;0.6989176991794791;0.6973714430417334
valid;1;0;2;10;0.7056345188617706;0.6820338916778564;0.6823314261436463;0.6816023182868958
pred_1;1;0;2;10;0.17142857142857143;0.175;0.15714285714285714;0.18857142853417566
act_1;1;0;2;10;0.4171428639707821;0.42000000692371814;0.4171428639973913;0.4196428638483797
train;1;0;10;4;0.7113998353481292;0.7016906425356865;0.6969217240810395;0.6978301368653774
valid;1;0;10;4;0.6859018886089325;0.682471616268158;0.6846599799394607;0.698896786570549
pred_1;1;0;10;4;0.18571428571428572;0.19285714285714287;0.17857142857142858;0.18214285714285713
act_1;1;0;10;4;0.41821429255817616;0.41821429255817616;0.41785714966910226;0.41750000680663757
train;1;0;10;10;0.6976612515747547;0.6971972012094089;0.698793749511242;0.6906798200947898
valid;1;0;10;10;0.6824188506603241;0.6961430156230927;0.6920441907644271;0.681448974609375
pred_1;1;0;10;10;0.1924999999148505;0.20714285714285716;0.19285714285714287;0.15714285714285714
act_1;1;0;10;10;0.4178571497223207;0.41964286400803497;0.4175000067268099;0.41714286405060974
train;1;0.5;2;4;0.7403082471873079;0.7146654011947768;0.7149019030588014;0.7131753861904144
valid;1;0.5;2;4;0.7197736632823944;0.7460160303115845;0.7275950217247009;0.7679935598373413
pred_1;1;0.5;2;4;0.2571428571428571;0.26785714285714285;0.24642857142857144;0.2642857142857143
