train_data;train_labels: 0:2800;batch_size: 10;model6
test_data;test_labels: 2800:3100;batch_size: 6
type;learning rate;momentum;neurons;filers;epoch 1;epoch 2; ... 
act_1;1;0.5;2;4;0.4178571497223207;0.41928572111896106;0.4164285783256803;0.41785714966910226
train;1;0.5;2;10;0.7613862660314356;0.7129843412765435;0.7149113138871533;0.7138214910668986
valid;1;0.5;2;10;0.6969305360317231;0.769515084028244;0.6879097610712052;0.6868987369537354
pred_1;1;0.5;2;10;0.24285714285714285;0.25357142857142856;0.2714285714285714;0.2714285714285714
act_1;1;0.5;2;10;0.4178571497223207;0.4196428639015981;0.41714286405060974;0.41750000693968364
train;1;0.5;10;4;0.7535962331507887;0.7109279196177211;0.7126969229962145;0.7174476751259395
valid;1;0.5;10;4;0.6912222325801849;0.681664342880249;0.6831392657756805;0.8262442362308502
pred_1;1;0.5;10;4;0.2642857142857143;0.2392857142857143;0.2571428571428571;0.24285714285714285
act_1;1;0.5;10;4;0.4178571497223207;0.41821429250495773;0.4189285782831056;0.42000000695032735
train;1;0.5;10;10;6.7382826234613145;6.72354836506503;6.763843603219304;6.712035441824368
valid;1;0.5;10;10;6.6621459865570065;6.823326938152313;6.877053916454315;6.823326938152313
pred_1;1;0.5;10;10;0.0035714285714285713;0.0;0.0;0.0
act_1;1;0.5;10;10;0.418928578336324;0.4171428639441729;0.41964286400803497;0.41642857821924345
